Date,USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,Source
2020-04-03,"
New York ",103476,"
","
3,218 ", ,"
91,372 ","
[1] [2] [3] [4] [5] [6] [7] [8] [9] [10]  "
2020-04-03,"
New Jersey ",29895,"
","
646 ", ,"
29,249 ","
[1] [2]  "
2020-04-03,"
Michigan ",12744,"
","
479 ", ,"
12,260 ","
[1] [2]  "
2020-04-03,"
California ",12581,"
+314 ","
285 ",10,"
11,446 ","
[1] [2]  "
2020-04-03,"
Massachusetts ",10402,"
","
192 ", ,"
10,200 ","
[1] [2]  "
2020-04-03,"
Louisiana ",10297,"
","
370 ", ,"
9,907 ","
[1]  "
2020-04-03,"
Florida ",10268,"
","
170 ", ,"
10,098 ","
[1] [2]  "
2020-04-03,"
Illinois ",8904,"
","
210 ", ,"
8,692 ","
[1] [2] [3] [4]  "
2020-04-03,"
Pennsylvania ",8420,"
","
102 ", ,"
8,280 ","
[1] [2] [3] [4]  "
2020-04-03,"
Washington ",6966,"
","
291 ", ,"
6,112 ","
[1] [2] [3] [4] [5] [6] [7] [8] [9] [10] [11] [12]  "
2020-04-03,"
Georgia ",5967,"
","
198 ", ,"
5,769 ","
[1] [2] [3]  "
2020-04-03,"
Texas ",5658,"
","
97 ", ,"
5,311 ","
[1] [2] [3] [4]  "
2020-04-03,"
Connecticut ",4914,"
","
131 ", ,"
4,783 ","
[1] [2] [3]  "
2020-04-03,"
Colorado ",4173,"
","
111 ", ,"
4,062 ","
[1]  "
2020-04-03,"
Indiana ",3437,"
","
102 ", ,"
3,335 ","
[1] [2]  "
2020-04-03,"
Ohio ",3312,"
","
91 ", ,"
3,221 ","
[1]  "
2020-04-03,"
Tennessee  ",3194,"
","
37 ", ,"
2,909 ","
[1] [2]  "
2020-04-03,"
Maryland ",2758,"
","
42 ", ,"
2,557 ","
[1]  "
2020-04-03,"
North Carolina ",2287,"
","
27 ", ,"
 2,240 ","
[1] [2]  "
2020-04-03,"
Missouri ",2113,"
","
19 ", ,"
2,092 ","
[1]  "
2020-04-03,"
Virginia ",2012,"
","
46 ", ,"
1,964 ","
[1]  "
2020-04-03,"
Wisconsin ",1916,"
","
46 ", ,"
1,868 ","
[1] [2]  "
2020-04-03,"
Arizona ",1769,"
","
41 ", ,"
1,725 ","
[1]  "
2020-04-03,"
South Carolina ",1700,"
","
34 ", ,"
1,666 ","
[1]  "
2020-04-03,"
Alabama ",1515,"
","
38 ", ,"
1,477 ","
[1]  "
2020-04-03,"
Nevada ",1514,"
","
43 ", ,"
1,442 ","
[1] [2]  "
2020-04-03,"
Mississippi ",1358,"
","
29 ", ,"
1,329 ","
[1]  "
2020-04-03,"
Utah ",1246,"
","
7 ", ,"
1,239 ","
[1]  "
2020-04-03,"
Idaho ",1013,"
","
10 ", ,"
1,003 ","
[1] [2]  "
2020-04-03,"
Oklahoma ",988,"
","
38 ", ,"
949 ","
[1]  "
2020-04-03,"
Oregon ",899,"
","
22 ", ,"
877 ","
[1] [2] [3]  "
2020-04-03,"
Kentucky ",831,"
","
37 ", ,"
730 ","
[1] [2]  "
2020-04-03,"
Minnesota ",789,"
","
22 ", ,"
479 ","
[1]  "
2020-04-03,"
District Of Columbia ",757,"
","
15 ", ,"
569 ","
[1]  "
2020-04-03,"
Arkansas ",738,"
","
12 ", ,"
651 ","
[1] [2]  "
2020-04-03,"
Rhode Island ",711,"
","
14 ", ,"
697 ","
[1] [2] [3] [4]  "
2020-04-03,"
Iowa ",699,"
","
11 ", ,"
670 ","
[1] [2] [3]  "
2020-04-03,"
Kansas ",620,"
","
17 ", ,"
603 ","
[1] [2] [3]  "
2020-04-03,"
New Hampshire ",540,"
","
7 ", ,"
389 ","
[1] [2] [3]  "
2020-04-03,"
New Mexico ",495,"
","
10 ", ,"
485 ","
[1] [2]  "
2020-04-03,"
Delaware ",450,"
","
14 ", ,"
365 ","
[1] [2] [3]  "
2020-04-03,"
Maine ",432,"
","
9 ", ,"
310 ","
[1] [2]  "
2020-04-03,"
Vermont ",389,"
","
17 ", ,"
372 ","
[1]  "
2020-04-03,"
Hawaii ",319,"
","
3 ", ,"
258 ","
[1]  "
2020-04-03,"
Nebraska ",279,"
","
6 ", ,"
273 ","
[1] [2] [3]  "
2020-04-03,"
Montana ",262,"
","
6 ", ,"
 256 ","
[1] [2] [3]  "
2020-04-03,"
West Virginia ",237,"
","
2 ", ,"
235 ","
[1]  "
2020-04-03,"
South Dakota ",187,"
","
2 ", ,"
117 ","
[1]  "
2020-04-03,"
 North Dakota ",173,"
","
3 ", ,"
115 ","
[1]  "
2020-04-03,"
Wyoming ",166,"
","
", ,"
140 ","
[1] [2]  "
2020-04-03,"
Alaska ",151,"
","
3 ", ,"
148 ","
[1] [2]  "
2020-04-03,"
Guam ",82,"
","
4 ", ,"
71 ","
[1] [2] [3]  "
2020-04-03,"
Northern Mariana Islands ",8,"
","
1 ", ,"
7 ","
[1]  "
2020-04-03,"
Puerto Rico ",378,"
","
15 ", ,"
359 ","
[1] [2]  "
2020-04-03,"
United States Virgin Islands ",37,"
","
", ,"
8 ","
[1]  "
2020-04-03,"
 Wuhan Repatriated ",3,"
","
", ,"
3 ","
"
2020-04-03,"
Diamond Princess Cruise ",46,"
","
", ,"
46 ","
"
2020-04-03,Total:,277475,314,7402,10,257790, 
