Date,USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,Source
2020-04-01,"
New York ",83901,"
","
2,219 ", ,"
75,540 ","
[1] [2] [3] [4] [5] [6] [7] [8]  "
2020-04-01,"
New Jersey ",22255,"
","
355 ", ,"
21,900 ","
[1]  "
2020-04-01,"
California ",9936,"
+129 ","
215 ",5,"
8,871 ","
[1]  "
2020-04-01,"
 Michigan ",9334,"
","
337 ", ,"
8,992 ","
[1] [2]  "
2020-04-01,"
Florida ",7773,"
","
101 ", ,"
7,672 ","
[1] [2]  "
2020-04-01,"
Massachusetts ",7738,"
","
122 ", ,"
7,606 ","
[1] [2]  "
2020-04-01,"
Illinois ",6980,"
","
141 ", ,"
6,837 ","
[1] [2] [3]  "
2020-04-01,"
Louisiana ",6424,"
","
273 ", ,"
6,151 ","
[1] [2]  "
2020-04-01,"
Pennsylvania ",6002,"
","
74 ", ,"
5,890 ","
[1] [2] [3] [4]  "
2020-04-01,"
Washington ",5984,"
+140 ","
254 ",4,"
5,167 ","
[1] [2] [3] [4] [5] [6] [7] [8] [9] [10] [11] [12] [13]  "
2020-04-01,"
Georgia ",4748,"
","
154 ", ,"
4,594 ","
[1] [2] [3]  "
2020-04-01,"
Texas ",4068,"
","
60 ", ,"
3,901  ","
[1] [2] [3]  "
2020-04-01,"
Connecticut ",3557,"
","
85 ", ,"
3,472 ","
[1] [2] [3]  "
2020-04-01,"
Colorado ",3342,"
","
80 ", ,"
3,262 ","
[1]  "
2020-04-01,"
Tennessee ",2683,"
","
25 ", ,"
2,521 ","
[1] [2]  "
2020-04-01,"
Indiana ",2565,"
","
65 ", ,"
2,500 ","
[1]  "
2020-04-01,"
Ohio ",2547,"
","
65 ", ,"
2,482 ","
[1]  "
2020-04-01,"
Maryland ",1985,"
","
31 ", ,"
1,885 ","
[1]  "
2020-04-01,"
North Carolina ",1717,"
","
15 ", ,"
1,697 ","
[1] [2] [3]  "
2020-04-01,"
Missouri ",1581,"
","
18 ", ,"
1,561 ","
[1]  "
2020-04-01,"
Wisconsin ",1550,"
","
25 ", ,"
1,523 ","
[1] [2] [3]  "
2020-04-01,"
Virginia ",1484,"
","
34 ", ,"
1,448 ","
[1]  "
2020-04-01,"
Arizona ",1413,"
","
29 ", ,"
1,381 ","
[1]  "
2020-04-01,"
South Carolina ",1293,"
","
26 ", ,"
1,267 ","
[1]  "
2020-04-01,"
Nevada ",1279,"
","
26 ", ,"
1,253 ","
[1] [2]  "
2020-04-01,"
Alabama ",1108,"
","
28 ", ,"
1,080 ","
[1] [2]  "
2020-04-01,"
Mississippi ",1073,"
","
22 ", ,"
1,051 ","
[1]  "
2020-04-01,"
Utah ",1012,"
","
7 ", ,"
1,005 ","
[1] [2]  "
2020-04-01,"
Oregon ",736,"
","
19 ", ,"
717 ","
[1] [2] [3]  "
2020-04-01,"
Oklahoma ",719,"
","
30 ", ,"
688 ","
[1]  "
2020-04-01,"
Minnesota ",689,"
","
17 ", ,"
384 ","
[1]  "
2020-04-01,"
Kentucky ",680,"
","
 20 ", ,"
596 ","
[1]  "
2020-04-01,"
Idaho ",673,"
","
9 ", ,"
664 ","
[1] [2]  "
2020-04-01,"
Arkansas ",624,"
+40 ","
10 ", ,"
572 ","
[1] [2]  "
2020-04-01,"
District Of Columbia ",586,"
","
11 ", ,"
433 ","
[1]  "
2020-04-01,"
Rhode Island ",566,"
","
10 ", ,"
556 ","
[1] [2] [3]  "
2020-04-01,"
Iowa ",549,"
","
9 ", ,"
 522 ","
[1] [2] [3]  "
2020-04-01,"
Kansas ",487,"
+5 ","
11 ",1,"
476 ","
[1] [2] [3]  "
2020-04-01,"
New Hampshire ",415,"
","
4 ", ,"
355 ","
[1] [2]  "
2020-04-01,"
Delaware ",368,"
","
11 ", ,"
308 ","
[1] [2] [3]  "
2020-04-01,"
New Mexico ",363,"
","
6 ", ,"
357 ","
[1] [2]  "
2020-04-01,"
Maine ",344,"
","
7 ", ,"
257 ","
[1] [2]  "
2020-04-01,"
Vermont ",321,"
","
16 ", ,"
305 ","
[1]  "
2020-04-01,"
Hawaii ",258,"
","
1 ", ,"
 199 ","
[1]  "
2020-04-01,"
Montana ",217,"
","
6 ", ,"
211 ","
[1] [2]  "
2020-04-01,"
Nebraska ",210,"
","
4 ", ,"
206 ","
[1] [2] [3]  "
2020-04-01,"
West Virginia ",191,"
","
2 ", ,"
189 ","
[1]  "
2020-04-01,"
Alaska ",143,"
+10 ","
3 ", ,"
140 ","
[1] [2]  "
2020-04-01,"
North Dakota ",142,"
","
3 ", ,"
105 ","
[1]  "
2020-04-01,"
Wyoming ",137,"
","
", ,"
111 ","
[1] [2]  "
2020-04-01,"
South Dakota ",129,"
","
2 ", ,"
76 ","
[1]  "
2020-04-01,"
Guam ",77,"
","
3 ", ,"
67 ","
[1] [2]  "
2020-04-01,"
Northern Mariana Islands ",6,"
","
1 ", ,"
5 ","
[1]  "
2020-04-01,"
Puerto Rico ",303,"
+17  ","
11 ", ,"
288 ","
[1] [2] [3]  "
2020-04-01,"
United States Virgin Islands ",30,"
","
", ,"
9 ","
[1]  "
2020-04-01,"
Wuhan Repatriated ",3,"
","
", ,"
3 ","
"
2020-04-01,"
Diamond Princess Cruise ",46,"
","
", ,"
46 ","
"
2020-04-01,Total:,215344,341,5112,10,201354, 
