Date,USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Source
2020-04-25,USA Total,960896,245,54265,9,788469,2903,164,5279237,15949, 
2020-04-25,"
New York ",288313,"
","
21,908 ", ,"
235,187 ",14696,1117,"
777,568 ",39635,"
[1] [2] [3] [4] [5] [6] [7] [8] [9]  "
2020-04-25,"
New Jersey ",105523,"
","
5,863 ", ,"
98,389 ",11881,660,"
213,125 ",23996,"
[1] [2] [3]  "
2020-04-25,"
Massachusetts ",53348,"
","
2,730 ", ,"
42,500 ",7811,400,"
226,845 ",33212,"
[1] [2]  "
2020-04-25,"
California ",42596,"
+245 ","
1,695 ",9,"
37,564 ",1088,43,"
494,173 ",12623,"
[1] [2] [3] [4]  "
2020-04-25,"
Illinois ",41777,"
","
1,874 ", ,"
39,297 ",3258,146,"
201,617 ",15725,"
[1] [2] [3] [4]  "
2020-04-25,"
Pennsylvania ",41697,"
","
1,804 ", ,"
39,243 ",3260,141,"
192,235 ",15029,"
[1] [2] [3] [4] [5] [6]  "
2020-04-25,"
Michigan ",37203,"
","
3,274 ", ,"
25,587 ",3736,329,"
144,044 ",14466,"
[1] [2] [3]  "
2020-04-25,"
Florida ",30839,"
","
1,055 ", ,"
29,098 ",1497,51,"
334,974 ",16262,"
[1] [2]  "
2020-04-25,"
Louisiana ",26512,"
","
1,703 ", ,"
9,882 ",5685,365,"
142,056 ",30460,"
[1] [2]  "
2020-04-25,"
Connecticut ",24582,"
","
1,862 ", ,"
22,655 ",6864,520,"
77,602 ",21667,"
[1] [2]  "
2020-04-25,"
Texas ",24195,"
","
641 ", ,"
13,568 ",868,23,"
262,816 ",9425,"
[1] [2] [3] [4] [5] [6] [7] [8] [9] [10] [11]  "
2020-04-25,"
Georgia ",23216,"
","
907 ", ,"
22,278 ",2255,88,"
119,014 ",11558,"
[1] [2] [3]  "
2020-04-25,"
Maryland ",17766,"
","
875 ", ,"
15,726 ",2959,146,"
89,123 ",14845,"
[1]  "
2020-04-25,"
Ohio ",15587,"
","
711 ", ,"
14,756 ",1339,61,"
111,379 ",9567,"
[1] [2] [3]  "
2020-04-25,"
Indiana ",14395,"
","
785 ", ,"
13,596 ",2169,118,"
79,774 ",12019,"
[1] [2]  "
2020-04-25,"
Washington ",13319,"
","
738 ", ,"
10,774 ",1826,101,"
170,594 ",23387,"
[1] [2] [3] [4] [5] [6] [7] [8] [9] [10] [11] [12] [13] [14]  "
2020-04-25,"
Colorado ",12968,"
","
672 ", ,"
11,737 ",2345,121,"
59,791 ",10810,"
[1]  "
2020-04-25,"
Virginia ",12366,"
","
436 ", ,"
10,258 ",1470,52,"
72,178 ",8579,"
[1] [2]  "
2020-04-25,"
Tennessee ",9189,"
","
178 ", ,"
4,544 ",1382,27,"
141,406 ",21261,"
[1] [2] [3] [4]  "
2020-04-25,"
North Carolina ",8753,"
","
305 ", ,"
7,146 ",862,30,"
105,265 ",10365,"
[1] [2] [3] [4]  "
2020-04-25,"
Rhode Island ",7129,"
","
215 ", ,"
6,572 ",6747,203,"
50,891 ",48164,"
[1] [2] [3]  "
2020-04-25,"
Missouri ",6881,"
","
283 ", ,"
6,051 ",1130,46,"
67,017 ",11004,"
[1] [2] [3] [4] [5] [6] [7]  "
2020-04-25,"
Arizona ",6280,"
","
273 ", ,"
5,937 ",904,39,"
62,508 ",8998,"
[1]  "
