Date,USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Source,Projections
2020-05-13,USA Total,"1,430,348",,"85,197",,"1,027,497","4,321",257,"10,269,996","31,027", , 
2020-05-13,"
New York ","350,848 ","
","
27,290 ", ,"
264,341 ","18,035","1,403","
1,258,907 ","64,713","
[1] [2] [3] [4] [5] [6] [7] [8] [9] [10]  ","
[projections]
"
2020-05-13,"
New Jersey ","142,861 ","
","
9,727  ", ,"
129,846 ","16,084","1,095","
441,450 ","49,701","
[view by county] [1]  ","
[projections]
"
2020-05-13,"
Illinois ","84,698 ","
","
3,792 ", ,"
71,681 ","6,684",299,"
489,359 ","38,618","
[1] [2] [3] [4]  ","
[projections]
"
2020-05-13,"
Massachusetts ","80,497 ","
","
5,315 ", ,"
47,370 ","11,679",771,"
410,032 ","59,490","
[1] [2]  ","
[projections]
"
2020-05-13,"
California ","72,905 ","
","
2,966 ", ,"
57,833 ","1,845",75,"
1,065,592 ","26,969","
[view by county] [1]  ","
[projections]
"
2020-05-13,"
Pennsylvania ","62,213 ","
","
4,147 ", ,"
51,560 ","4,860",324,"
312,629 ","24,420","
[view by county] [1]  ","
[projections]
"
2020-05-13,"
Michigan ","48,391 ","
","
4,714 ", ,"
20,991 ","4,845",472,"
329,639 ","33,007","
[1] [2] [3]  ","
[projections]
"
2020-05-13,"
Texas ","43,502 ","
","
1,217 ", ,"
18,602 ","1,500",42,"
587,431 ","20,259","
[view by county] [1]  ","
[projections]
"
2020-05-13,"
Florida ","42,402 ","
","
1,829 ", ,"
33,480 ","1,974",85,"
595,495 ","27,726","
[view by county] [1]  ","
[projections]
"
2020-05-13,"
Georgia ","35,427 ","
","
1,517 ", ,"
33,570 ","3,337",143,"
273,904 ","25,798","
[1]  ","
[projections]
"
2020-05-13,"
Connecticut ","34,855 ","
","
3,125 ", ,"
28,801 ","9,776",877,"
142,943 ","40,093","
[1]  ","
 [projections]
"
