Date,USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Source,Projections
2020-05-14,USA Total,"1,457,593",,"86,912",,"1,052,654","4,404",263,"10,638,893","32,141", , 
2020-05-14,"
New York ","353,096 ","
","
27,426 ", ,"
265,555 ","18,151","1,410","
1,304,070 ","67,035","
[1] [2] [3] [4] [5] [6] [7] [8] [9] [10]  ","
[projections]
"
2020-05-14,"
New Jersey ","144,024 ","
","
9,946 ", ,"
130,847 ","16,215","1,120","
451,696 ","50,854","
[view by county] [1]  ","
[projections]
"
2020-05-14,"
Illinois ","87,937 ","
","
3,928 ", ,"
82,179 ","6,940",310,"
512,037 ","40,408","
[1] [2] [3] [4]  ","
[projections]
"
2020-05-14,"
Massachusetts ","82,182 ","
","
5,482 ", ,"
48,888 ","11,923",795,"
424,361 ","61,568","
[1] [2]  ","
[projections]
"
2020-05-14,"
California ","74,785 ","
","
3,048 ", ,"
59,142 ","1,893",77,"
1,104,651 ","27,957","
[view by county] [1]  ","
[projections]
"
2020-05-14,"
Pennsylvania ","63,220 ","
","
4,294 ", ,"
52,420 ","4,938",335,"
321,437 ","25,108","
[view by county] [1]  ","
[projections]
"
2020-05-14,"
Michigan ","49,582 ","
","
4,787 ", ,"
22,109 ","4,965",479,"
345,403 ","34,586","
[1] [2] [3]  ","
[projections]
"
2020-05-14,"
Texas ","44,775 ","
","
1,258 ", ,"
19,002 ","1,544",43,"
623,284 ","21,496","
[view by county] [1]  ","
[projections]
"
2020-05-14,"
Florida ","43,210 ","
","
1,876 ", ,"
33,955 ","2,012",87,"
609,577 ","28,382","
[view by county] [1]  ","
[projections]
"
2020-05-14,"
Georgia ","35,977 ","
","
1,544 ", ,"
34,093 ","3,388",145,"
285,881 ","26,926","
[1]  ","
[projections]
"
2020-05-14,"
Maryland ","35,903 ","
","
1,866 ", ,"
31,581 ","5,939",309,"
178,454 ","29,518","
[1]  ","
[projections]
"
2020-05-14,"
Connecticut ","35,464 ","
","
3,219 ", ,"
25,981 ","9,947",903,"
149,562 ","41,949","
[1]  ","
[projections]
"
2020-05-14,"
Louisiana ","33,489 ","
","
2,417 ", ,"
8,464 ","7,204",520,"
247,588 ","53,259","
[view by county] [1]  ","
[projections]
"
2020-05-14,"
Virginia ","27,813 ","
","
955 ", ,"
23,180 ","3,259",112,"
185,551 ","21,739","
[1] [2]  ","
[projections]
"
2020-05-14,"
Ohio ","26,367 ","
","
1,537 ", ,"
20,662 ","2,256",131,"
231,795 ","19,830","
[view by county] [1] [2] [3]  ","
[projections]
"
2020-05-14,"
Indiana ","26,053 ","
","
1,646 ", ,"
22,538 ","3,870",244,"
160,239 ","23,802","
[1] [2]  ","
[projections]
"
2020-05-14,"
 Colorado ","20,838 ","
","
1,091 ", ,"
19,052 ","3,619",189,"
115,996 ","20,143","
[1]  ","
[projections]
"
2020-05-14,"
Washington ","18,660 ","
","
993 ", ,"
13,255 ","2,450",130,"
267,931 ","35,185","
[view by county] [1]  ","
[projections]
"
2020-05-14,"
North Carolina ","16,996 ","
","
641 ", ,"
7,240 ","1,621",61,"
219,268 ","20,906","
[1] [2] [3] [4]  ","
[projections]
"
2020-05-14,"
Tennessee ","16,699 ","
","
287 ", ,"
7,531 ","2,445",42,"
302,317 ","44,268","
[1] [2] [3]  ","
[projections]
"
2020-05-14,"
Iowa ","13,675 ","
","
318 ", ,"
7,126 ","4,334",101,"
89,294 ","28,302","
[1] [2]  ","
[projections]
"
2020-05-14,"
Minnesota ","13,435 ","
","
672 ", ,"
3,627 ","2,382",119,"
128,752 ","22,830","
[1] [2]  ","
[projections]
"
