Date,USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,Source
2020-03-31,"
New York ",75983,"
","
1,714 ", ,"
69,294 ","
[1] [2] [3] [4] [5] [6] [7] [8]  "
2020-03-31,"
New Jersey ",18696,"
","
267 ", ,"
18,429 ","
[1]  "
2020-03-31,"
California ",8548,"
+44 ","
181 ",1,"
7,517 ","
[1]  "
2020-03-31,"
 Michigan ",7615,"
","
259 ", ,"
7,351 ","
[1] [2]  "
2020-03-31,"
Florida ",6741,"
","
85 ", ,"
6,656 ","
[1] [2]  "
2020-03-31,"
Massachusetts ",6620,"
","
89 ", ,"
6,521 ","
[1] [2]  "
2020-03-31,"
Illinois ",5994,"
","
99 ", ,"
5,893 ","
[1] [2] [3]  "
2020-03-31,"
Washington ",5482,"
","
225 ", ,"
4,767 ","
[1] [2] [3] [4] [5] [6] [7]  "
2020-03-31,"
Louisiana ",5237,"
","
239 ", ,"
4,998 ","
[1] [2]  "
2020-03-31,"
Pennsylvania ",4961,"
","
63 ", ,"
4,898 ","
[1] [2] [3] [4]  "
2020-03-31,"
Georgia ",4117,"
","
125 ", ,"
3,992 ","
[1] [2] [3]  "
2020-03-31,"
Texas ",3666,"
","
56 ", ,"
3,503 ","
[1] [2]  "
2020-03-31,"
Connecticut ",3128,"
","
69 ", ,"
3,059 ","
[1] [2] [3]  "
2020-03-31,"
Colorado ",2966,"
","
69 ", ,"
2,897 ","
[1]  "
2020-03-31,"
Tennessee ",2389,"
","
23 ", ,"
2,245 ","
[1] [2]  "
2020-03-31,"
Ohio ",2199,"
","
55 ", ,"
2,144 ","
[1]  "
2020-03-31,"
Indiana ",2159,"
","
49 ", ,"
2,110 ","
[1]  "
2020-03-31,"
Maryland ",1660,"
","
18 ", ,"
1,589 ","
[1] [2]  "
2020-03-31,"
North Carolina ",1536,"
","
8 ", ,"
1,523 ","
[1] [2]  "
2020-03-31,"
Wisconsin ",1351,"
","
25 ", ,"
1,324 ","
[1] [2] [3]  "
2020-03-31,"
Missouri ",1327,"
","
14 ", ,"
1,311 ","
[1]  "
2020-03-31,"
Arizona ",1289,"
","
24 ", ,"
1,262 ","
[1]  "
2020-03-31,"
Virginia ",1250,"
","
27 ", ,"
1,221 ","
[1]  "
2020-03-31,"
Nevada ",1113,"
","
18 ", ,"
1,095 ","
[1] [2]  "
2020-03-31,"
South Carolina ",1083,"
","
 22 ", ,"
1,061 ","
[1]  "
2020-03-31,"
Alabama ",993,"
","
23 ", ,"
970 ","
[1] [2]  "
2020-03-31,"
Mississippi ",937,"
","
20 ", ,"
917 ","
[1]  "
2020-03-31,"
Utah ",887,"
","
5 ", ,"
882 ","
[1] [2]  "
2020-03-31,"
Oregon ",690,"
","
18 ", ,"
672 ","
[1] [2] [3]  "
2020-03-31,"
Minnesota ",629,"
","
12 ", ,"
483 ","
[1]  "
2020-03-31,"
Kentucky ",591,"
","
17 ", ,"
510 ","
[1]  "
2020-03-31,"
Oklahoma ",565,"
","
23 ", ,"
541 ","
[1]  "
2020-03-31,"
Idaho ",525,"
","
9 ", ,"
516 ","
[1] [2]  "
2020-03-31,"
Arkansas ",523,"
","
8 ", ,"
480 ","
[1] [2]  "
2020-03-31,"
Iowa ",497,"
","
 7 ", ,"
472 ","
[1] [2] [3]  "
2020-03-31,"
District Of Columbia ",495,"
","
9 ", ,"
435 ","
[1]  "
2020-03-31,"
Rhode Island ",488,"
","
8 ", ,"
480 ","
[1] [2]  "
2020-03-31,"
Kansas ",428,"
","
9 ", ,"
419 ","
[1] [2]  "
2020-03-31,"
New Hampshire ",367,"
","
3 ", ,"
308 ","
[1] [2]  "
2020-03-31,"
Delaware ",319,"
","
10 ", ,"
287 ","
[1] [2] [3]  "
2020-03-31,"
New Mexico ",315,"
","
5 ", ,"
310 ","
[1] [2]  "
2020-03-31,"
Maine ",303,"
","
5 ", ,"
230 ","
[1] [2]  "
2020-03-31,"
Vermont ",293,"
","
13 ", ,"
280 ","
[1]  "
2020-03-31,"
Hawaii ",224,"
","
1 ", ,"
165 ","
[1]  "
2020-03-31,"
Montana ",198,"
","
5 ", ,"
193 ","
[1] [2]  "
2020-03-31,"
Nebraska ",177,"
","
3 ", ,"
174 ","
[1] [2] [3]  "
2020-03-31,"
West Virginia ",162,"
","
1 ", ,"
161 ","
[1]  "
2020-03-31,"
North Dakota ",122,"
","
3 ", ,"
94 ","
[1]  "
2020-03-31,"
Wyoming ",120,"
","
", ,"
94 ","
[1] [2]  "
2020-03-31,"
Alaska ",119,"
","
3 ", ,"
116 ","
[1] [2]  "
2020-03-31,"
South Dakota ",108,"
","
1 ", ,"
73 ","
[1]  "
2020-03-31,"
Guam ",69,"
","
2 ", ,"
60 ","
[1]  "
2020-03-31,"
Northern Mariana Islands ",6,"
+4 ","
", ,"
6 ","
[1]  "
2020-03-31,"
Puerto Rico ",239,"
","
8 ", ,"
227 ","
[1] [2]  "
2020-03-31,"
United States Virgin Islands  ",30,"
","
", ,"
9 ","
[1]  "
2020-03-31,"
Wuhan Repatriated ",3,"
","
", ,"
3 ","
"
2020-03-31,"
Diamond Princess Cruise ",46,"
","
", ,"
46 ","
"
2020-03-31,Total:,188578,48,4054,1,177273, 
