Date,USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,Source
2020-04-02,"
New York ",93053,"
","
2,538 ", ,"
83,081 ","
[1] [2] [3] [4] [5] [6] [7] [8] [9]  "
2020-04-02,"
New Jersey ",25590,"
","
537 ", ,"
25,053 ","
[1] [2]  "
2020-04-02,"
California ",11027,"
+189 ","
239 ",5,"
9,938 ","
[1]  "
2020-04-02,"
Michigan ",10791,"
","
417 ", ,"
10,369 ","
[1] [2]  "
2020-04-02,"
Louisiana ",9150,"
","
310 ", ,"
8,820 ","
[1]  "
2020-04-02,"
Florida ",9008,"
","
144 ", ,"
8,864 ","
[1] [2]  "
2020-04-02,"
Massachusetts ",8966,"
","
154 ", ,"
8,802 ","
[1] [2]  "
2020-04-02,"
Illinois ",7695,"
","
157 ", ,"
7,536 ","
[1] [2] [3] [4]  "
2020-04-02,"
Pennsylvania ",7264,"
","
90 ", ,"
7,136 ","
[1] [2] [3] [4]  "
2020-04-02,"
Washington ",6585,"
","
272 ", ,"
5,750 ","
[1] [2] [3] [4] [5] [6] [7] [8] [9] [10] [11] [12]  "
2020-04-02,"
Georgia ",5444,"
+96 ","
176 ",13,"
5,268 ","
[1] [2] [3]  "
2020-04-02,"
Texas ",4823,"
","
77 ", ,"
4,639 ","
[1] [2] [3]  "
2020-04-02,"
Connecticut ",3824,"
","
112 ", ,"
3,712 ","
[1] [2] [3]  "
2020-04-02,"
Colorado ",3728,"
","
97 ", ,"
3,631 ","
[1]  "
2020-04-02,"
Tennessee ",3194,"
","
32 ", ,"
2,942 ","
[1] [2]  "
2020-04-02,"
Indiana ",3039,"
","
78 ", ,"
2,961 ","
[1]  "
2020-04-02,"
Ohio ",2902,"
","
81 ", ,"
2,821 ","
[1]  "
2020-04-02,"
Maryland ",2331,"
","
36 ", ,"
2,214 ","
[1]  "
2020-04-02,"
North Carolina ",2023,"
","
18 ", ,"
1,985 ","
[1] [2] [3]  "
2020-04-02,"
Missouri ",1834,"
","
19 ", ,"
1,813 ","
[1]  "
2020-04-02,"
Wisconsin ",1730,"
","
38 ", ,"
1,690 ","
[1] [2]  "
2020-04-02,"
Virginia ",1706,"
","
41 ", ,"
1,663 ","
[1]  "
2020-04-02,"
Arizona ",1598,"
","
32 ", ,"
1,563 ","
[1]  "
2020-04-02,"
South Carolina ",1554,"
","
31 ", ,"
1,523 ","
[1]  "
2020-04-02,"
Nevada ",1458,"
","
38 ", ,"
1,420 ","
[1] [2]  "
2020-04-02,"
Alabama ",1270,"
+9 ","
32 ", ,"
1,238 ","
[1]  "
2020-04-02,"
Mississippi ",1177,"
","
26 ", ,"
1,151 ","
[1]  "
2020-04-02,"
Utah ",1074,"
","
7 ", ,"
1,067 ","
[1] [2]  "
2020-04-02,"
Idaho ",891,"
","
9 ", ,"
882 ","
[1] [2]  "
2020-04-02,"
Oklahoma ",879,"
","
34 ", ,"
844 ","
[1]  "
2020-04-02,"
Oregon ",826,"
","
21 ", ,"
805 ","
[1] [2] [3]  "
2020-04-02,"
Kentucky ",770,"
","
31 ", ,"
675 ","
[1] [2]  "
2020-04-02,"
Minnesota ",742,"
","
18 ", ,"
436 ","
[1]  "
2020-04-02,"
Arkansas ",683,"
","
12 ", ,"
621 ","
[1] [2]  "
2020-04-02,"
Rhode Island ",657,"
","
12 ", ,"
645 ","
[1] [2] [3]  "
2020-04-02,"
District Of Columbia ",653,"
","
12 ", ,"
468 ","
[1]  "
2020-04-02,"
Iowa ",614,"
","
11  ", ,"
585 ","
[1] [2] [3]  "
2020-04-02,"
Kansas ",552,"
","
13 ", ,"
539 ","
[1] [2] [3]  "
2020-04-02,"
New Hampshire ",479,"
","
5 ", ,"
383 ","
[1] [2] [3]  "
2020-04-02,"
New Mexico ",403,"
","
7 ", ,"
396 ","
[1] [2]  "
2020-04-02,"
Delaware ",393,"
","
12 ", ,"
332 ","
[1] [2] [3]  "
2020-04-02,"
Maine ",376,"
","
7 ", ,"
275 ","
[1] [2]  "
2020-04-02,"
Vermont ",338,"
","
17 ", ,"
321 ","
[1]  "
2020-04-02,"
Hawaii ",285,"
","
1 ", ,"
226 ","
[1]  "
2020-04-02,"
Nebraska ",246,"
","
5 ", ,"
241 ","
[1] [2] [3]  "
2020-04-02,"
Montana ",241,"
+14 ","
6 ", ,"
235 ","
[1] [2] [3]  "
2020-04-02,"
West Virginia ",217,"
","
2 ", ,"
215 ","
[1]  "
2020-04-02,"
South Dakota ",165,"
","
2 ", ,"
106 ","
[1]  "
2020-04-02,"
North Dakota ",159,"
","
3 ", ,"
113 ","
[1]  "
2020-04-02,"
Alaska ",151,"
+8 ","
3 ", ,"
148 ","
[1] [2]  "
2020-04-02,"
Wyoming ",150,"
","
", ,"
124 ","
[1] [2]  "
2020-04-02,"
Guam ",82,"
","
3 ", ,"
72 ","
[1] [2]  "
2020-04-02,"
Northern Mariana Islands ",8,"
","
1 ", ,"
7 ","
[1]  "
2020-04-02,"
Puerto Rico ",316,"
","
12 ", ,"
300 ","
[1] [2] [3] [4]  "
2020-04-02,"
United States Virgin Islands ",30,"
","
", ,"
9 ","
[1]  "
2020-04-02,"
Wuhan Repatriated ",3,"
","
", ,"
3 ","
"
2020-04-02,"
Diamond Princess Cruise ",46,"
","
", ,"
46 ","
"
2020-04-02,Total:,245193,316,6088,18,228702, 
