Date,USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Source,Projections
2020-05-12,USA Total,"1,408,636",,"83,425",,"1,021,243","4,256",252,"9,935,720","30,017", , 
2020-05-12,"
New York ","348,655 ","
","
27,175 ", ,"
262,750 ","17,922","1,397","
1,225,113 ","62,976","
[1] [2] [3] [4] [5] [6] [7] [8] [9] [10]  ","
[projections]
"
2020-05-12,"
New Jersey ","142,079 ","
","
9,541  ", ,"
129,310 ","15,996","1,074","
433,060 ","48,756","
[view by county] [1]  ","
[projections]
"
2020-05-12,"
Illinois ","83,021 ","
","
3,601 ", ,"
70,644 ","6,552",284,"
471,691 ","37,224","
[1] [2] [3] [4]  ","
[projections]
"
2020-05-12,"
Massachusetts ","79,332 ","
","
5,141 ", ,"
52,043 ","11,510",746,"
401,496 ","58,251","
[1] [2]  ","
[projections]
"
2020-05-12,"
California ","70,938 ","
","
2,876 ", ,"
56,374 ","1,795",73,"
1,036,275 ","26,227","
[view by county] [1]  ","
[projections]
"
2020-05-12,"
Pennsylvania ","61,425 ","
","
3,918 ", ,"
51,143 ","4,798",306,"
305,384 ","23,854","
[view by county] [1]  ","
[projections]
"
2020-05-12,"
Michigan ","48,021 ","
","
4,674 ", ,"
20,661 ","4,808",468,"
317,282 ","31,770","
[1] [2] [3]  ","
[projections]
"
2020-05-12,"
Florida ","41,923 ","
","
1,782 ", ,"
33,048 ","1,952",83,"
598,883 ","27,884","
[view by county] [1]  ","
[projections]
"
2020-05-12,"
Texas ","41,866 ","
","
1,179 ", ,"
16,436 ","1,444",41,"
538,172 ","18,560","
[view by county] [1]  ","
[projections]
"
2020-05-12,"
Georgia ","34,848 ","
","
1,494 ", ,"
33,014 ","3,282",141,"
262,179 ","24,693","
[1]  ","
[projections]
"
2020-05-12,"
Connecticut ","34,333 ","
","
3,041 ", ,"
28,363 ","9,630",853,"
138,424 ","38,825","
[1]  ","
 [projections]
"
2020-05-12,"
Maryland ","34,061 ","
","
1,756 ", ,"
29,911 ","5,634",290,"
169,503 ","28,037","
[1]  ","
[projections]
"
2020-05-12,"
Louisiana ","32,050 ","
","
2,347 ", ,"
7,095 ","6,894",505,"
235,334 ","50,623","
[view by county] [1]  ","
[projections]
"
2020-05-12,"
Virginia ","25,800 ","
","
891 ", ,"
21,785 ","3,023",104,"
172,438 ","20,202","
[1] [2]  ","
[projections]
"
2020-05-12,"
Ohio ","25,264  ","
","
1,438 ", ,"
19,658 ","2,161",123,"
217,731 ","18,627","
[view by county] [1] [2] [3]  ","
[projections]
"
2020-05-12,"
Indiana ","25,127 ","
","
1,578 ", ,"
21,858 ","3,732",234,"
150,510 ","22,357","
[1] [2]  ","
[projections]
"
2020-05-12,"
Colorado ","20,157 ","
","
1,009 ", ,"
18,453 ","3,500",175,"
109,304 ","18,981","
[1]  ","
[projections]
"
2020-05-12,"
Washington ","18,064 ","
","
964 ", ,"
13,098 ","2,372",127,"
252,108 ","33,107","
[view by county] [1]  ","
[projections]
"
2020-05-12,"
Tennessee ","16,111 ","
","
265 ", ,"
7,510 ","2,359",39,"
283,924 ","41,575","
[1] [2] [3]  ","
[projections]
"
2020-05-12,"
North Carolina ","15,623 ","
","
600 ", ,"
5,908 ","1,490",57,"
202,244 ","19,283","
[1] [2] [3] [4]  ","
 [projections]
"
2020-05-12,"
Iowa ","12,912 ","
","
289 ", ,"
7,005 ","4,092",92,"
81,288 ","25,764","
[1] [2]  ","
[projections]
"
2020-05-12,"
Minnesota ","12,494 ","
","
614 ", ,"
3,657 ","2,215",109,"
120,834 ","21,426","
[1] [2]  ","
[projections]
"
2020-05-12,"
Arizona ","11,736 ","
","
562 ", ,"
11,104 ","1,612",77,"
159,082 ","21,856","
[1]  ","
[projections]
"
2020-05-12,"
Rhode Island ","11,614 ","
","
444 ", ,"
10,440 ","10,963",419,"
95,239 ","89,902","
[1]  ","
[projections]
"
2020-05-12,"
Wisconsin ","10,611 ","
","
418 ", ,"
5,179 ","1,822",72,"
123,359 ","21,187","
[1] [2] [3] [4] [5] [6]  ","
[projections]
"
2020-05-12,"
Alabama ","10,464 ","
","
435 ", ,"
10,009 ","2,134",89,"
135,079 ","27,549","
[1]  ","
[projections]
"
2020-05-12,"
Missouri ","10,232 ","
","
531 ", ,"
7,047 ","1,667",87,"
121,296 ","19,763","
[1] [2] [3] [4] [5] [6] [7]  ","
[projections]
"
2020-05-12,"
Mississippi ","9,908 ","
","
457 ", ,"
5,030 ","3,329",154,"
97,692 ","32,825","
[1] [2]  ","
[projections]
"
2020-05-12,"
Nebraska ","8,692 ","
","
103 ", ,"
 8,567 ","4,493",53,"
49,799 ","25,744","
[1] [2]  ","
[projections]
"
2020-05-12,"
South Carolina ","7,927 ","
","
355 ", ,"
2,691 ","1,540",69,"
93,140 ","18,090","
[1] [2]  ","
[projections]
"
2020-05-12,"
Kansas ","7,240 ","
","
184 ", ,"
5,381 ","2,485",63,"
54,109 ","18,573","
[1] [2] [3] [4] [5] [6] [7]  ","
[projections]
"
2020-05-12,"
Kentucky ","6,853 ","
","
321 ", ,"
 3,986 ","1,534",72,"
110,609 ","24,758","
[1]  ","
[projections]
"
2020-05-12,"
Delaware ","6,741 ","
","
237 ", ,"
3,702 ","6,923",243,"
33,291 ","34,188","
[1]  ","
[projections]
"
2020-05-12,"
District Of Columbia ","6,485 ","
","
336 ", ,"
5,263 ","9,189",476,"
31,050 ","43,996","
[1]  ","
[projections]
"
2020-05-12,"
Utah ","6,432 ","
","
73 ", ,"
3,092 ","2,006",23,"
153,485 ","47,875","
[1]  ","
 [projections]
"
2020-05-12,"
Nevada ","6,311 ","
","
321 ", ,"
1,793 ","2,049",104,"
76,914 ","24,971","
[1] [2]  ","
[projections]
"
2020-05-12,"
New Mexico ","5,212 ","
","
219 ", ,"
3,559 ","2,486",104,"
106,721 ","50,896","
[1] [2]  ","
[projections]
"
2020-05-12,"
Oklahoma ","4,732 ","
","
278 ", ,"
1,031 ","1,196",70,"
96,111 ","24,289","
[1] [2]  ","
[projections]
"
2020-05-12,"
Arkansas ","4,164  ","
","
95 ", ,"
849 ","1,380",31,"
73,215 ","24,261","
[1]  ","
[projections]
"
2020-05-12,"
South Dakota ","3,663 ","
","
39 ", ,"
1,315 ","4,141",44,"
25,197 ","28,482","
[1]  ","
[projections]
"
2020-05-12,"
Oregon ","3,358 ","
","
130 ", ,"
2,103 ",796,31,"
79,595 ","18,871","
[1] [2]  ","
[projections]
"
2020-05-12,"
New Hampshire ","3,239 ","
","
142 ", ,"
1,863 ","2,382",104,"
37,216 ","27,371","
[1]  ","
[projections]
"
2020-05-12,"
Idaho ","2,293 ","
","
70 ", ,"
844 ","1,283",39,"
32,705 ","18,301","
[1] [2]  ","
[projections]
"
2020-05-12,"
North Dakota ","1,571 ","
","
38 ", ,"
656 ","2,062",50,"
47,832 ","62,767","
[1]  ","
[projections]
"
2020-05-12,"
Maine ","1,477 ","
","
65 ", ,"
499 ","1,099",48,"
23,500 ","17,482","
[1] [2]  ","
[projections]
"
