Date,USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Source,Projections
2020-05-17,USA Total,"1,527,664",,"90,978",,"1,090,297","4,615",275,"11,875,580","35,878", , 
2020-05-17,"
New York ","359,847 ","
","
28,325 ", ,"
270,099 ","18,498","1,456","
1,420,465 ","73,018","
[1] [2] [3] [4] [5] [6] [7] [8] [9] [10]  ","
[projections]
"
2020-05-17,"
New Jersey ","148,197 ","
","
10,366 ", ,"
131,076 ","16,685","1,167","
524,516 ","59,053","
[view by county] [1]  ","
[projections]
"
2020-05-17,"
Illinois ","94,191 ","
","
4,177 ", ,"
87,846 ","7,433",330,"
581,944 ","45,924","
[1] [2] [3] [4]  ","
[projections]
"
2020-05-17,"
Massachusetts ","86,010 ","
","
5,797 ", ,"
52,401 ","12,479",841,"
460,826 ","66,859","
[1] [2]  ","
[projections]
"
2020-05-17,"
California ","80,265 ","
","
3,289 ", ,"
63,870 ","2,031",83,"
1,243,242 ","31,465","
[view by county] [1]  ","
[projections]
"
2020-05-17,"
Pennsylvania ","65,816 ","
","
4,503 ", ,"
54,593 ","5,141",352,"
344,124 ","26,881","
[view by county] [1]  ","
[projections]
"
2020-05-17,"
Michigan ","51,142 ","
","
4,891 ", ,"
18,017 ","5,121",490,"
411,506 ","41,205","
[1] [2] [3]  ","
[projections]
"
2020-05-17,"
Texas ","48,677 ","
","
1,360 ", ,"
19,747 ","1,679",47,"
693,276 ","23,909","
[view by county] [1]  ","
[projections]
"
2020-05-17,"
Florida ","45,588 ","
","
1,973 ", ,"
35,977 ","2,123",92,"
653,081 ","30,407","
[view by county] [1]  ","
[projections]
"
2020-05-17,"
Maryland ","38,804 ","
","
1,992 ", ,"
34,006 ","6,418",329,"
194,926 ","32,242","
[1]  ","
[projections]
"
2020-05-17,"
Georgia ","37,701 ","
","
1,609 ", ,"
35,752 ","3,551",152,"
351,175 ","33,075","
[1]  ","
[projections]
"
2020-05-17,"
Connecticut ","37,419 ","
","
3,408 ", ,"
27,747 ","10,495",956,"
170,607 ","47,852","
[1]  ","
[projections]
"
2020-05-17,"
Louisiana ","34,432 ","
","
2,491 ", ,"
9,333 ","7,407",536,"
265,170 ","57,041","
[view by county] [1]  ","
[projections]
"
2020-05-17,"
Virginia ","30,388 ","
","
1,009 ", ,"
25,386 ","3,560",118,"
210,825 ","24,700","
[1] [2]  ","
[projections]
"
2020-05-17,"
Ohio ","27,929 ","
","
1,628 ", ,"
22,133 ","2,389",139,"
264,462 ","22,625","
[view by county] [1] [2] [3]  ","
[projections]
"
2020-05-17,"
Indiana ","27,778 ","
","
1,751 ", ,"
24,158 ","4,126",260,"
177,243 ","26,328","
[1] [2]  ","
[projections]
"
2020-05-17,"
Colorado ","21,938 ","
","
1,215 ", ,"
19,232 ","3,810",211,"
126,330 ","21,937","
[1]  ","
[projections]
"
2020-05-17,"
Washington ","19,283 ","
","
1,016 ", ,"
13,394 ","2,532",133,"
288,507 ","37,887","
[view by county] [1]  ","
[projections]
"
2020-05-17,"
North Carolina ","18,659 ","
","
684 ", ,"
8,860 ","1,779",65,"
248,944 ","23,736","
[1] [2] [3] [4]  ","
[projections]
"
2020-05-17,"
Tennessee ","17,388 ","
","
298 ", ,"
7,438 ","2,546",44,"
325,280 ","47,631","
[1] [2] [3]  ","
[projections]
"
2020-05-17,"
Minnesota ","15,668 ","
","
731 ", ,"
4,040 ","2,778",130,"
150,605 ","26,705","
[1] [2]  ","
[projections]
"
2020-05-17,"
Iowa ","14,651 ","
","
351 ", ,"
7,146 ","4,644",111,"
100,241 ","31,771","
[1] [2]  ","
[projections]
"
2020-05-17,"
Arizona ","13,937 ","
","
680 ", ,"
13,187 ","1,915",93,"
203,006 ","27,890","
[1]  ","
[projections]
"
2020-05-17,"
Rhode Island ","12,674 ","
","
499 ", ,"
11,289 ","11,964",471,"
112,550 ","106,243","
[1]  ","
[projections]
"
2020-05-17,"
Wisconsin ","12,543  ","
","
453 ", ,"
5,317 ","2,154",78,"
152,217 ","26,143","
[1] [2] [3] [4] [5] [6]  ","
[projections]
"
2020-05-17,"
Alabama ","11,771 ","
","
488 ", ,"
11,263 ","2,401",100,"
156,350 ","31,887","
[1]  ","
[projections]
"
2020-05-17,"
Mississippi ","11,296 ","
","
521 ", ,"
4,507 ","3,796",175,"
113,126 ","38,011","
[1] [2]  ","
[projections]
"
2020-05-17,"
Missouri ","11,057 ","
","
604 ", ,"
7,646 ","1,802",98,"
157,044 ","25,588","
[1] [2] [3] [4] [5] [6] [7]  ","
[projections]
"
2020-05-17,"
Nebraska ","10,348 ","
","
123 ", ,"
9,876 ","5,349",64,"
67,649 ","34,971","
[1] [2]  ","
[projections]
"
2020-05-17,"
South Carolina ","8,816 ","
","
385 ", ,"
2,388 ","1,712",75,"
127,802 ","24,822","
[1] [2]  ","
[projections]
"
2020-05-17,"
Kansas ","7,951 ","
","
195 ", ,"
5,279 ","2,729",67,"
61,592 ","21,142","
[1] [2] [3] [4] [5] [6] [7]  ","
[projections]
"
2020-05-17,"
Kentucky ","7,688 ","
","
334 ", ,"
4,586 ","1,721",75,"
129,685 ","29,027","
[1]  ","
[projections]
"
2020-05-17,"
Delaware ","7,670 ","
","
290 ", ,"
3,902 ","7,877",298,"
40,865 ","41,966","
[1]  ","
[projections]
"
2020-05-17,"
Utah ","7,238 ","
","
80 ", ,"
3,440 ","2,258",25,"
170,752 ","53,261","
[1]  ","
[projections]
"
2020-05-17,"
District Of Columbia ","7,123 ","
","
383 ", ,"
5,717 ","10,093",543,"
36,526 ","51,755","
[1]  ","
[projections]
"
2020-05-17,"
Nevada ","6,857 ","
","
350 ", ,"
1,468 ","2,226",114,"
95,954 ","31,152","
[1] [2]  ","
[projections]
"
2020-05-17,"
New Mexico ","5,938 ","
","
265 ", ,"
3,934 ","2,832",126,"
133,253 ","63,550","
[1] [2]  ","
 [projections]
"
2020-05-17,"
Oklahoma ","5,310 ","
","
288 ", ,"
1,077 ","1,342",73,"
123,472 ","31,204","
[1] [2]  ","
[projections]
"
2020-05-17,"
Arkansas ","4,759 ","
","
98 ", ,"
1,071 ","1,577",32,"
85,185 ","28,227","
[1]  ","
[projections]
"
2020-05-17,"
South Dakota ","3,987 ","
","
44 ", ,"
1,270 ","4,507",50,"
28,559 ","32,282","
[1]  ","
[projections]
"
2020-05-17,"
Oregon ","3,623 ","
","
137 ", ,"
2,080 ",859,32,"
94,356 ","22,371","
[1] [2]  ","
[projections]
"
2020-05-17,"
New Hampshire ","3,596 ","
","
172 ", ,"
2,156 ","2,645",126,"
53,405 ","39,277","
[1]  ","
[projections]
"
2020-05-17,"
Idaho ","2,419 ","
","
73 ", ,"
967 ","1,354",41,"
36,672 ","20,521","
[1] [2]  ","
[projections]
"
2020-05-17,"
North Dakota ","1,900 ","
","
43 ", ,"
679 ","2,493",56,"
55,221 ","72,463","
[1]  ","
[projections]
"
2020-05-17,"
Maine ","1,687 ","
","
70 ", ,"
589 ","1,255",52,"
33,035 ","24,576","
[1] [2]  ","
[projections]
"
2020-05-17,"
West Virginia ","1,490 ","
","
67 ", ,"
504 ",831,37,"
75,490 ","42,123","
[1]  ","
[projections]
"
2020-05-17,"
Vermont ",940 ,"
","
54 ", ,"
76 ","1,506",87,"
23,205 ","37,188","
[1]  ","
 [projections]
"
2020-05-17,"
Wyoming ",754 ,"
","
8 ", ,"
248 ","1,303",14,"
16,394 ","28,326","
[1] [2]  ","
[projections]
"
2020-05-17,"
Hawaii ",640 ,"
","
17 ", ,"
50 ",452,12,"
41,788 ","29,514","
[1] [2]  ","
[projections]
"
2020-05-17,"
Montana ",468 ,"
","
16 ", ,"
21 ",438,15,"
26,885 ","25,155","
[1] [2] [3]  ","
[projections]
"
2020-05-17,"
Alaska ",396 ,"
","
10 ", ,"
42 ",541,14,"
34,651 ","47,367","
[1]  ","
[projections]
"
2020-05-17,"
Guam ",154 ,"
","
5 ", ,"
18 ",,,"
605
",,"
[1]  ","
"
2020-05-17,"
Northern Mariana Islands ",21 ,"
","
2 ", ,"
7 ",,,"
3,325
",,"
[1] [2]  ","
"
2020-05-17,"
Puerto Rico ","2,646 ","
","
123 ", ,"
1,777 ",781,36,"
13,022
","3,845","
[1] [2] [3]  ","
"
2020-05-17,"
United States Virgin Islands ",69 ,"
","
6 ", ,"
2 ",,,"
1,278
",,"
[1] [2]  ","
"
2020-05-17,"
Veteran Affairs ","12,060 ","
","
1,005 ", ,"
2,004 ",,,"
143,876
",,"
[1] [2]  ","
"
2020-05-17,"
US Military ","8,374 ","
","
27 ", ,"
4,397 ",,,"
",,"
[1] [2]  ","
"
2020-05-17,"
Navajo Nation ","3,912 ","
","
140 ", ,"
3,772 ",,,"
19,441
",,"
[1]  ","
"
2020-05-17,"
Federal Prisons ","3,629 ","
","
56 ", ,"
1,291 ",,,"
",,"
[1]  ","
"
2020-05-17,"
Grand Princess Ship ",103 ,"
","
3 ", ,"
100 ",,,"
",,"
[1]  ","
"
2020-05-17,"
Wuhan Repatriated ",3 ,"
","
", ,"
3 ",,,"
3
",,"
 ","
"
2020-05-17,"
Diamond Princess Ship ",46 ,"
","
", ,"
46 ",,,"
46
",,"
 ","
"
2020-05-17,Total:,"1,527,664",,"90,978",,"1,090,297","4,615",275,"11,875,580","35,878", , 
