screen_name,created_at,location,state_abb,state,source,hashtags,text
RealEstateDigs,2020-04-21 22:09:07,Connecticut,CT,Connecticut,AdvisorStream v2,,"So many candidates, so little time...Can the world find a good covid-19 vaccine quickly enough?
And can it mass-produce it fairly if it does? https://t.co/qOvJL0PZFZ https://t.co/4BAM8ArDRY"
Kelisia,2020-04-21 22:09:07,"Mesa, AZ",AZ,Arizona,Twitter Web App,,"If you receive a text message saying “Someone who came in contact with you tested positive or has shown symptoms for COVID-19 &amp; recommends you self-isolate/get tested,” DO NOT click the link. This is a scam. https://t.co/P2a57N5G6V"
colleen_benn,2020-04-21 22:09:07,"Port Hueneme, CA",CA,California,Twitter for iPhone,SmartNews,Coronavirus task force has started ignoring Trump — who believes he can ‘crush’ COVID-19 resurgence after states reopen: report #SmartNews  https://t.co/batrc48WFm
GrammyConcerned,2020-04-21 22:09:07,"Florida, USA",FL,Florida,Twitter for iPad,,"@WhiteHouse @realDonaldTrump AMERICAN LIVES IN DANGER, if you allow STATES NOT TO COMPLY to Proposed State or Regional Gating Criteria
(Satisfy Before Proceeding to Phased Opening):
“Downward trajectory of covid-like syndromic cases reported within 14 day period.”
YOU ARE SOLELY RESPONSIBLE! ENFORCE NOW! https://t.co/7bpBUFM0yQ"
DonnaDonna107,2020-04-21 22:09:06,"Staten Island, NY",NY,New York,Twitter for iPhone,,Malliotakis asks state to plan for elective surgeries now that the ‘worst of the COVID outbreak is over’ https://t.co/jyJoxI2rWq
htubbscooley_RN,2020-04-21 22:09:06,"Columbus, OH USA",OH,Ohio,Twitter for iPhone,,I am pleased to announce this new program to assist @OhioState students who are facing unexpected financial challenges as a result of the COVID-19 pandemic. https://t.co/tYB04vo2Xp
InfamousResists,2020-04-21 22:09:06,WestSide USA,,,Twitter for iPhone,,"""NIH Panel Recommends Against Drug Combination Trump Has Promoted For COVID-19""
https://t.co/eUlBuN3zrP"
Jesssica_Rabbit,2020-04-21 22:09:06,"Portland, Oregon",OR,Oregon,Twitter for Android,,"The death cult of capitalism: ""Businesses are asking for the right to expose their workers to fatal risks with no consequences.""

This is why we need a system based around the needs of people not one that treats everything like a disposable commodity. 

https://t.co/MgcTMLNpRJ"
BRT_Austin,2020-04-21 22:09:06,"Austin, TX",TX,Texas,Twitter for Android,,Overheard: So are we calling these armed Covid-19 protestors the “Flu Klux Klan?” Because if not that sounds like a missed opportunity.
so65623811,2020-04-21 22:09:06,"Massachusetts, USA",MA,Massachusetts,Twitter for Android,,"At least 25 members of President Donald Trump’s new back-to-work council, tasked with reviving the economy amid the COVID-19 pandemic, have made substantial donations to his reelection campaign, raising serious ethical concerns https://t.co/dJpQKKphTO"
bertha1957,2020-04-21 22:09:06,"Arizona, USA",AZ,Arizona,Twitter for iPhone,,"Hydroxychloroquine, long touted by President Trump, is of no use treating Covid-19 and actually causes more deaths than standard care, per a large new study. 

https://t.co/eCpEH9DGS0"
weareiowa5news,2020-04-21 22:09:05,"West Des Moines, IA",IA,Iowa,SocialNewsDesk,,100+ COVID-19 questions answered: Send yours and we'll work to get answers https://t.co/rpKxNKUzrk
dazzlemma21,2020-04-21 22:09:05,"Las Vegas, NV",NV,Nevada,Twitter for iPhone,covid19,"The Navajo Nation will soon surpass NYC for #covid19 cases per capita. Sierra Club has joined in solidarity to donate toward the Navajo &amp; Hopi Families COVID-19 Relief Fund. If you're in the position to help out as well, you can give here: https://t.co/95OBRULQLg"
JournalStarNews,2020-04-21 22:09:05,"Lincoln, NE",NE,Nebraska,SocialNewsDesk,,"With three new deaths in Hall County and four more in Douglas County, 41 Nebraskans have died of complications related to coronavirus. https://t.co/OlTZivbLTU"
sjett560,2020-04-21 22:09:05,"Illinois, USA",IL,Illinois,Twitter for iPhone,,"Tuesday advice from Chaos the K-9:

I'm not a carrier of COVID-19, but you could be. Trust me, I know being cooped up at home is ruff. Stay home not only for your safety, but for the safety of others. #StayHome https://t.co/ExX7FlEBMh"
LaynieDane,2020-04-21 22:09:05,Indianapolis IN,IN,Indiana,Twitter for Android,,Hydroxychloroquine as treatment for COVID-19 shows no benefit and more deaths in VA study https://t.co/2WTYzzNmuV
jjonah415,2020-04-21 22:09:05,"Chicago, IL & Madison, WI",WI,Wisconsin,Twitter Web App,,"I know showing dead bodies is graphic, but people really need to see the destruction of COVID-19 because people need to see it to take it as seriously as they should!"
Madbaud,2020-04-21 22:09:05,"San Diego, CA",CA,California,Twitter Web App,COVID19,"As we battle the #COVID19 pandemic, I am honoured to work with someone so smart, dedicated and kind as @mvankerkhove. Together! https://t.co/ZeXxLyKS8g"
dblanch256,2020-04-21 22:09:05,"Houston, TX",TX,Texas,Twitter Web App,,"@Cameron13107534 Where are they getting the money? They are getting the money from your future, your children's future and your grandchildren's future
#Covid_19
#VoteBlueToSaveAmerica"
local24kim,2020-04-21 22:09:04,"Memphis, TN",TN,Tennessee,SocialNewsDesk,,"Science should drive the decision to reopen, not politics or business interest https://t.co/uG6mw9Df90"
jkhenley,2020-04-21 22:09:04,"Oregon, USA",OR,Oregon,Twitter Web App,,"We stand with our colleagues at @uoregon and America’s leading research universities as they take the fight to COVID-19 in our labs and hospitals. 

#ProudToBeOnTheirTeam | #GoDucks
https://t.co/zAhbpv9zSM"
TheEcircle,2020-04-21 22:09:04,Connecticut,CT,Connecticut,MeetEdgar,,"A Case Study on How to Use PR During the Era of Covid-19
 
Sharing Good News Attracts Good PR. After hearing this story, you may want to consider something similar for your business.

https://t.co/GKkt7zj4Tr https://t.co/mqhAZL0sOx"
callerdotcom,2020-04-21 22:09:04,"Corpus Christi, TX",TX,Texas,SocialNewsDesk,,COVID-19 may erase up to $21 million from Corpus Christi's city budget https://t.co/lRyfC78ije
HokieHoos,2020-04-21 22:09:03,"Virginia, USA",VA,Virginia,Twitter Web App,,"My heart earnestly goes out to the people of Florida, Georgia, South Carolina and Tennessee. You've been lied to about the prevalence, contagiousness, and lethality of COVID-19 by state officials acting for their own political profit. You're headed for a major outbreak. #StayHome https://t.co/3D7wjagDpb"
Celestebyrne3,2020-04-21 22:09:03,USA,,,Twitter for iPad,,‘Volume was down … the patients coming in are sicker’ — Mount Sinai Queens Dr. Matthew Bai shared this video diary update on the COVID-19 fight in his hospital https://t.co/pW84SFrUk7
winklewini,2020-04-21 22:09:03,"Beaverton, OR",OR,Oregon,Twitter for Android,Coronavirus,"Millions of Americans who watch the White House #Coronavirus briefings see quite a different @realDonaldTrump than the Democrats and the media portray.

They see a leader who is obviously in command of thousands of facts, figures and details!

https://t.co/QZTt4h2eRa"
HeberSuzanne,2020-04-21 22:09:03,"Dubuque, IA",IA,Iowa,Twitter for iPhone,,Thank you Iowa workers! Know your rights and learn how to keep yourself safe. More information in this COVID-19 worker fact sheet: https://t.co/Q3z0j0TW3I #ialegis #IAHD99 https://t.co/qFGmjpb2zB
drag_n_ass,2020-04-21 22:09:02,"Tucson, AZ",AZ,Arizona,Twitter for iPhone,,"If you receive a text message saying “Someone who came in contact with you tested positive or has shown symptoms for COVID-19 &amp; recommends you self-isolate/get tested,” DO NOT click the link. This is a scam. https://t.co/P2a57N5G6V"
Loudmouthkid62,2020-04-21 22:09:02,"New York, NY",NY,New York,Twitter Web App,,"Found this to be a really useful primer on some of the vast array of immune responses people seem to have to covid, why that might be happening, and the treatments doctors are trying out to address them. https://t.co/eLXzercWTI"
1stFanofChicago,2020-04-21 22:09:02,Illinois,IL,Illinois,Twitter for iPhone,,Coronavirus Panel Recommends Against Use Of Hydroxychloroquine And Azithromycin : Coronavirus Live Updates : NPR https://t.co/60Epnpz8eJ
PinellasCoNews,2020-04-21 22:09:02,"Pinellas County, Florida",FL,Florida,Sprout Social,"COVID19, PinellasEM","Just a little extra space can stop all the dominoes from falling. Same with you and COVID-19 - keep six feet apart and help stop the spread. Don't let the next domino be someone you care for.  Visit https://t.co/wWVaRpDvAE for more information. 
#COVID19 #PinellasEM https://t.co/W7Q7cm3L2y"
Indiana_Patriot,2020-04-21 22:09:02,Indiana,IN,Indiana,Twitter Web App,,"We were told the hospitals would be overwhelmed by the COVID surge. Instead, Congress is rushing to bail out the hospitals because they're going bankrupt due to lack of patients."
spacelysrocket,2020-04-21 22:09:02,"Outchea, USA",,,Twitter for iPhone,COVID19,FDA has authorized the first #COVID19 diagnostic test with a home collection option. https://t.co/S07u85yAew https://t.co/wbbXBKNNnf
GodlessRobot,2020-04-21 22:09:02,"Eagle, ID",ID,Idaho,atheistscrape2,,"🤖
/u/relevantlife posted:
Church gatherings are responsible for more than half of Myanmar's COVID cases.
https://t.co/cYyVtcCpyr"
wandtvnews,2020-04-21 22:09:01,Central Illinois,IL,Illinois,BLOX CMS,,"SHERMAN, Ill. (WAND) - A congregate living facility in Sherman has reported several confirmed cases of COVID-19 at their facility.  https://t.co/pCHQuqwaBC"
EdBayne1,2020-04-21 22:09:01,"Florida, USA",FL,Florida,Twitter Web App,,"A HHS internal doc prepared in early April says that more than 300,000 or more Americans could die from COVID-19 if all social distancing measures are abandoned.
This as Trump and GOP governors push for reopening. https://t.co/NQ2RIUvGt4"
6dozenballs,2020-04-21 22:09:01,USA,,,Twitter Web App,,"A tuition freeze is a step in the right direction. But most universities will need a tuition cut to reach full enrollment, with a guaranteed even bigger cut if fall classes are on line.

https://t.co/iiQaiGnASG"
xaelvaen,2020-04-21 22:09:01,"Kentucky, USA",KY,Kentucky,Twitter for Android,,"@BigSarge049 @CunningCarlsbad @RandPaul Not a terrible idea, really.  Myself, I'm not in the ""fear"" crowd and would rather develop Covid antibodies, but I believe in liberty, even for the frightful.  As long as there's a million fair vote failsafes."
Tdk77068076,2020-04-21 22:09:01,"Salem, OR",OR,Oregon,Twitter for Android,,So. The first governor to start re-opening his state is the one who said last month that he didn't know COVID could be passed by asymptomatic persons? Do I have that right?
KCDurling,2020-04-21 22:09:01,USA,,,Twitter Web App,COVIDー19,"#COVIDー19 The data showed that 9 of 10 patients had an underlying medical condition, including:
—Hypertension: 49.7%
—Diabetes: 28.3%
—Chronic lung disease: 34.6%
—Cardiovascular disease: 27.8%
—Obesity: 48.3% https://t.co/YjabN89Bwc"
Sta7ic,2020-04-21 22:09:01,"Pittsburgh, PA",PA,Pennsylvania,Twitter for Android,,So basically this does absolutely nothing to stop COVID and is mostly just to stop immigrants staying here permanently? https://t.co/nohQ5POfS5
