screen_name,created_at,location,state_abb,state,source,hashtags,text
hatchjenn,2020-04-21 22:01:53,"Frisco, TX",TX,Texas,Twitter for iPhone,,"NEW: In interview w/me, CDC director warns second wave of coronavirus is likely to be worse because it will coincide with flu season. Look how overwhelmed health system is in this 1st covid-19 wave. Now imagine 2 respiratory outbreaks at the same time. https://t.co/ftPnleE4VP"
Captain72846752,2020-04-21 22:01:53,"Wisconsin, USA",WI,Wisconsin,Twitter for Android,,@NedenkaKhalesi @saglibom @1urbanfan27unp @charliekirk11 By the way since you trust Trump you never answered the question. How was it Obama's fault that the covid 19 test were poor quality. Trump made this claim. Since you claim to be so smart. Explain this to me.
slyarak,2020-04-21 22:01:53,"Austin, TX",TX,Texas,Twitter Web App,,@DanKeshet @ameseh @Mateo_in_ATX Kinda like the maps of COVID-19 and 5G
mspencer108,2020-04-21 22:01:53,"Massachusetts, USA",MA,Massachusetts,Twitter for iPhone,,"Yes, Trump's immigration Exec Order is a ploy to distract from his failed COVID-19 response. Yes, he's unsure as to whether the court will overturn it. But it'd be a mistake to dismiss it as a ploy. It's the next trial balloon as he warms up to a much bigger power grab this year."
MatthewBrusky,2020-04-21 22:01:52,"Houston, TX",TX,Texas,Twitter for Android,,"Speaking as somebody who survived stage 4 cancer &amp; is now staying at home so I don't get this thing: 

Fuck you William Barr. https://t.co/n3uxBOmJMO"
IrishLass2157,2020-04-21 22:01:52,Michigan,MI,Michigan,Twitter for iPhone,,"A new analysis found that 11% of veterans with Covid-19 died when they received standard care — but the death rate rose to 28% when they were also given hydroxychloroquine, the malaria drug touted by Trump. https://t.co/vTqHJqG5Wt"
cruadin,2020-04-21 22:01:52,East Tennessee,TN,Tennessee,Twitter Web App,,"It’s possible to be concerned about public health, the economy and personal liberty all at the same time. It’s a false narrative that you must choose between them. I choose all three. We can take COVID-19 seriously yet be reasonable in our fight. Michigan needs a change ASAP."
censusSDC,2020-04-21 22:01:51,"Nationwide, USA",,,Twitter Web App,COVIDCRUSH,"Meet #COVIDCRUSH, a toy model of disease transmission created by our very own nerdy girl, @malia_ailam and her team in the @AppliedPopLab at @UWMadison. Things you can do with this model:
https://t.co/t8C3pyitrb"
keith_colledge,2020-04-21 22:01:51,"Pittsburgh, PA",PA,Pennsylvania,Twitter for Android,,"They are the MOST DESPICABLE hatful narrow mined MSM ppl ever! do they really believe that white America wake up in the morning worrying about how many Black &amp; Brown folks will die from COVID, oh pleaszz😠I'll bet my last dollar that most blacks wake up wanting to return to work. https://t.co/B7qBnC1Q7Q"
manyban2,2020-04-21 22:01:51,California,CA,California,Twitter for Android,,"I know COVID-19 is causing many people to feel anxious about what the future holds or lonely during this time of social distancing — and that's okay, just know that you're not alone. I've asked my friend, Dr. Vivek Murthy, to share a few tips on how to get through this: https://t.co/Hx9TMlF2zP"
impalajohn_john,2020-04-21 22:01:51,"Washington, USA",WA,Washington,Twitter Web App,"coronavirus, COVID","🚨 BREAKING: @SenMikeLee 'Unacceptable' that Congress is in recess amid #coronavirus.

👉 ""If #COVID-19 requires Congress to act then it requires Congress to convene. #ampFW https://t.co/jq7FCjB15E"
SheSternly,2020-04-21 22:01:51,"San Francisco, CA",CA,California,Twitter Web App,COVIDー19,"#COVIDー19 The data showed that 9 of 10 patients had an underlying medical condition, including:
—Hypertension: 49.7%
—Diabetes: 28.3%
—Chronic lung disease: 34.6%
—Cardiovascular disease: 27.8%
—Obesity: 48.3% https://t.co/YjabN89Bwc"
VanessaFordDC,2020-04-21 22:01:50,"Boston, MA",MA,Massachusetts,Twitter for iPhone,,Coronavirus Panel Recommends Against Use Of Hydroxychloroquine And Azithromycin : Coronavirus Live Updates : NPR https://t.co/Z8WOuY1uG5
ReidHansenMO,2020-04-21 22:01:50,"Columbia, MO",MO,Missouri,Twitter for iPhone,,"The extended deadline to file individual, corporation, or partnership returns that were originally due on April 15, 2020 is July 15, 2020. For additional information regarding COVID-19 extensions, refer to https://t.co/AAyOn2f18j and review the FAQ's. https://t.co/2KNRYvnYbD"
SeanCarrollNews,2020-04-21 22:01:50,"Syracuse, NY",NY,New York,Twitter Web App,,"Thanks @RealMichaelKay!

You can find the @JJB_Foundation Virtual Gala on NBC3 &amp;  @CNYCentral Facebook and Twitter-

For fans out of CNY who were watching @YESNetwork---here's where you can watch:

https://t.co/Qd6QpfJsMl

https://t.co/LBud7EzPoB https://t.co/qGqSCoiLga"
Jalaycia6,2020-04-21 22:01:50,"Los Angeles, CA",CA,California,Twitter for iPhone,,I’m gone be honest I’m over this Covid-19 shit.
CMPeterKoo,2020-04-21 22:01:50,"Flushing, NY",NY,New York,Twitter for iPhone,,"No one has permission to discriminate in NYC — not now, not ever. 

@NYCCHR formed a COVID-19 Response Team to address the increase in discrimination &amp; harassment related to the pandemic.

https://t.co/lXmq7Uh09z"
